"","County","HS_Graduation_Rate","Counted_Ballots","Local_News_Outlets","Eligible_Population","Mean_Earnings"
"1","Alamance County",0.88318628987714,90230,3,"133974","60788"
"2","Alexander County",0.853913043478261,20795,1,"29325","55729"
"3","Alleghany County",0.826356420571926,6550,1,"9197","56949"
"4","Anson County",0.8346469992118,10952,1,"17762","45743"
"5","Ashe County",0.872728908076992,16379,1,"22236","51686"
"6","Avery County",0.875131371518655,9554,1,"15224","52568"
"7","Beaufort County",0.866835358562967,26688,1,"35963","57600"
"8","Bertie County",0.807307171853857,9228,1,"14780","48180"
"9","Bladen County",0.888940324888477,16858,2,"23762","54705"
"10","Brunswick County",0.931689233292607,109833,2,"119498","67538"
"11","Buncombe County",0.915649288627547,161285,10,"220911","67632"
"12","Burke County",0.846175278269228,46000,2,"71783","56456"
"13","Cabarrus County",0.913668469915665,120629,1,"169324","74353"
"14","Caldwell County",0.819931367093304,43670,2,"64692","55298"
"15","Camden County",0.913027248973498,6325,0,"8037","61066"
"16","Carteret County",0.915715168093179,45997,2,"56665","66112"
"17","Caswell County",0.832224130528124,12090,1,"18632","52357"
"18","Catawba County",0.876181782099623,87485,2,"125975","64120"
"19","Chatham County",0.8871891996892,52526,1,"61776","97611"
"20","Cherokee County",0.90648996779787,17919,2,"24222","52502"
"21","Chowan County",0.856282039751776,7589,1,"11119","63417"
"22","Clay County",0.873381140961147,7760,1,"9343","61357"
"23","Cleveland County",0.87037037037037,51867,2,"77490","52020"
"24","Columbus County",0.851596588655296,26489,3,"40336","50041"
"25","Craven County",0.909236795552186,56370,2,"79140","60281"
"26","Cumberland County",0.921380510855785,140941,4,"251617","53942"
"27","Currituck County",0.924941641228228,18103,0,"22276","68172"
"28","Dare County",0.949359989443125,25298,1,"30312","71511"
"29","Davidson County",0.866358856936264,93848,3,"132766","59054"
"30","Davie County",0.892249360726567,26980,1,"34023","67200"
"31","Duplin County",0.799787347155768,22981,2,"37620","46966"
"32","Durham County",0.903006431362895,181739,7,"259976","80676"
"33","Edgecombe County",0.851992409867173,24525,0,"37944","50932"
"34","Forsyth County",0.888488299610829,205668,5,"296785","69498"
"35","Franklin County",0.86925303146866,42848,1,"54594","64857"
"36","Gaston County",0.871039935221944,119628,1,"177838","64103"
"37","Gates County",0.904947916666667,5898,0,"8448","53122"
"38","Graham County",0.837129485179407,4851,1,"6410","51741"
"39","Granville County",0.851505647459156,32221,2,"48783","64058"
"40","Greene County",0.766967366955258,8486,1,"16517","45359"
"41","Guilford County",0.900673916191317,286373,8,"421269","70224"
"42","Halifax County",0.815705879289694,24106,2,"38406","52998"
"43","Harnett County",0.881950743040536,63962,1,"100331","60610"
"44","Haywood County",0.903465298046975,38001,2,"51049","58926"
"45","Henderson County",0.910192715420398,70296,3,"94803","63483"
"46","Hertford County",0.850287259209192,9868,1,"17754","51667"
"47","Hoke County",0.888648281979702,22870,1,"38329","57558"
"48","Hyde County",0.809728567589358,2440,0,"3721","45738"
"49","Iredell County",0.906840529553944,111257,4,"145632","77453"
"50","Jackson County",0.907253842017378,22091,1,"35333","57458"
"51","Johnston County",0.893610682102857,125160,2,"164462","66211"
"52","Jones County",0.859602649006623,5484,0,"7550","53179"
"53","Lee County",0.851342704398621,30198,1,"48447","56411"
"54","Lenoir County",0.817287881625773,27600,3,"42712","51287"
"55","Lincoln County",0.896280030999742,55756,1,"69678","72762"
"56","McDowell County",0.862452598706223,23750,1,"35864","54607"
"57","Macon County",0.89379427971661,22062,3,"30488","55713"
"58","Madison County",0.895390372512332,13709,1,"17637","64777"
"59","Martin County",0.815936573123431,12090,1,"17532","46876"
"60","Mecklenburg County",0.904719953169387,580343,23,"859267","88342"
"61","Mitchell County",0.900138583190674,8885,1,"12267","53108"
"62","Montgomery County",0.842087161597799,13240,1,"20353","50885"
"63","Moore County",0.919177995573822,62124,1,"79075","76394"
"64","Nash County",0.859761439450098,52617,3,"74195","58280"
"65","New Hanover County",0.931452928372401,139306,7,"186981","76650"
"66","Northampton County",0.828070904306883,9258,0,"14442","55898"
"67","Onslow County",0.933354953786282,81904,2,"154175","49512"
"68","Orange County",0.938393288829702,88217,2,"117893","104042"
"69","Pamlico County",0.89890840056953,8014,2,"10535","59301"
"70","Pasquotank County",0.898256455528581,20422,1,"31717","59939"
"71","Pender County",0.894496655483548,39019,1,"47989","67334"
"72","Perquimans County",0.864752941176471,7706,1,"10625","57619"
"73","Person County",0.87644750386001,22128,1,"31088","60024"
"74","Pitt County",0.910321150238397,87505,1,"134859","61662"
"75","Polk County",0.914257954821472,13116,1,"16468","60102"
"76","Randolph County",0.835858226225656,76239,1,"112348","55970"
"77","Richmond County",0.831329668338066,19938,2,"33106","49389"
"78","Robeson County",0.792706551415527,47074,1,"88271","49095"
"79","Rockingham County",0.835619821105197,49784,1,"72892","54276"
"80","Rowan County",0.872770075856657,75642,1,"114690","60861"
"81","Rutherford County",0.854557432956131,34802,1,"51608","56366"
"82","Sampson County",0.830158871434293,28339,1,"44942","51127"
"83","Scotland County",0.827777777777778,14701,1,"26460","50544"
"84","Stanly County",0.855149582630948,36845,2,"49237","57553"
"85","Stokes County",0.873056852513046,27296,1,"36410","57754"
"86","Surry County",0.824046349285094,37666,2,"56441","55977"
"87","Swain County",0.844521675507591,7093,1,"10934","52590"
"88","Transylvania County",0.934406912804399,20929,1,"28006","57765"
"89","Tyrrell County",0.794306049822064,1763,0,"2810","50702"
"90","Union County",0.897085399976354,139913,2,"177623","90444"
"91","Vance County",0.844216763362548,20171,1,"32404","52086"
"92","Wake County",0.935530490482277,656878,13,"867697","94134"
"93","Warren County",0.844078349980542,10092,1,"15418","58014"
"94","Washington County",0.856058030148476,5974,1,"8823","55094"
"95","Watauga County",0.944052734782427,33283,3,"47938","61578"
"96","Wayne County",0.858084817755243,54950,1,"89934","55494"
"97","Wilkes County",0.82169194115645,36501,1,"52886","53155"
"98","Wilson County",0.835470753831717,40217,1,"60743","58008"
"99","Yadkin County",0.869748893169759,20510,1,"29589","58009"
"100","Yancey County",0.880648362553755,11441,1,"15115","57027"
